web_scraper_order,web_scraper_start_url,link
1779450540-195,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261490671
1779450540-196,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261490575
1779450540-197,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261490028
1779450540-198,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261489238
1779450540-199,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261488931
1779450540-200,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261488661
1779450540-201,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261488279
1779450540-202,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261487915
1779450540-203,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261487802
1779450540-204,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261487759
1779450540-205,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261487746
1779450540-206,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261487699
1779450540-207,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261487637
1779450540-208,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261487341
1779450540-209,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261487092
1779450540-210,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261487082
1779450540-211,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261486603
1779450540-212,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261486475
1779450540-213,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261486391
1779450540-214,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261485899
